CONTEST_STEP,YEAR,ORDER,COUNTRY,ARTIST,SONG,PLACE
Grand Final,2000,1, Israel,PingPong,Sameach (שמח),22
Grand Final,2000,2, Netherlands,Linda Wagenmakers,No Goodbyes,13
Grand Final,2000,3, United Kingdom,Nicki French,Don't Play That Song Again,16
Grand Final,2000,4, Estonia,Ines,Once in a Lifetime,4
Grand Final,2000,5, France,Sofia Mestari,On aura le ciel,23
Grand Final,2000,6, Romania,Taxi,The Moon,17
Grand Final,2000,7, Malta,Claudette Pace,Desire,8
Grand Final,2000,8, Norway,Charmed,My Heart Goes Boom,11
Grand Final,2000,9, Russia,Alsou,Solo,2
Grand Final,2000,10, Belgium,Nathalie Sorce,Envie de vivre,24
Grand Final,2000,11, Cyprus,Voice,Nomiza (Νόμιζα),21
Grand Final,2000,12, Iceland,August & Telma,Tell Me!,12
Grand Final,2000,13, Spain,Serafín Zubiri,Colgado de un sueño,18
Grand Final,2000,14, Denmark,Olsen Brothers,Fly on the Wings of Love,1
Grand Final,2000,15, Germany,Stefan Raab,Wadde hadde dudde da?,5
Grand Final,2000,16,  Switzerland,Jane Bogaert,La vita cos'è?,20
Grand Final,2000,17, Croatia,Goran Karan,Kad zaspu anđeli,9
Grand Final,2000,18, Sweden,Roger Pontare,When Spirits Are Calling My Name,7
Grand Final,2000,19, Macedonia,XXL,100% te ljubam (100% те љубам),15
Grand Final,2000,20, Finland,Nina Åström,A Little Bit,18
Grand Final,2000,21, Latvia,Brainstorm,My Star,3
Grand Final,2000,22, Turkey,Pınar Ayhan and the SOS,Yorgunum Anla,10
Grand Final,2000,23, Ireland,Eamonn Toal,Millennium of Love,6
Grand Final,2000,24, Austria,The Rounder Girls,All to You,14
