CONTEST_STEP,YEAR,ORDER,COUNTRY,ARTIST,SONG,PLACE
Grand Final,2002,1, Cyprus,One,Gimme,6
Grand Final,2002,2, United Kingdom,Jessica Garlick,Come Back,3
Grand Final,2002,3, Austria,Manuel Ortega,Say a Word,18
Grand Final,2002,4, Greece,Michalis Rakintzis,S.A.G.A.P.O.,17
Grand Final,2002,5, Spain,Rosa,Europe's Living a Celebration,7
Grand Final,2002,6, Croatia,Vesna Pisarović,Everything I Want,11
Grand Final,2002,7, Russia,Prime Minister,Northern Girl,10
Grand Final,2002,8, Estonia,Sahlene,Runaway,3
Grand Final,2002,9, Macedonia,Karolina,Od nas zavisi (Од нас зависи),19
Grand Final,2002,10, Israel,Sarit Hadad,Light a Candle,12
Grand Final,2002,11, Switzerland,Francine Jordi,Dans le jardin de mon âme,22
Grand Final,2002,12, Sweden,Afro-dite,Never Let It Go,8
Grand Final,2002,13, Finland,Laura,Addicted to You,20
Grand Final,2002,14, Denmark,Malene,Tell Me Who You Are,24
Grand Final,2002,15, Bosnia and Herzegovina,Maja,Na jastuku za dvoje (На јастуку за двоје),13
Grand Final,2002,16, Belgium,Sergio and the Ladies,Sister,13
Grand Final,2002,17, France,Sandrine François,Il faut du temps,5
Grand Final,2002,18, Germany,Corinna May,I Can't Live Without Music,21
Grand Final,2002,19, Turkey,Buket Bengisu and Group Safir,Leylaklar Soldu Kalbinde,16
Grand Final,2002,20, Malta,Ira Losco,7th Wonder,2
Grand Final,2002,21, Romania,Monica Anghel and Marcel Pavel,Tell Me Why,9
Grand Final,2002,22, Slovenia,Sestre,Samo ljubezen,13
Grand Final,2002,23, Latvia,Marie N,I Wanna,1
Grand Final,2002,24, Lithuania,Aivaras,Happy You,23
