CONTEST_STEP,YEAR,ORDER,COUNTRY,ARTIST,SONG,PLACE
Semi-Final,2007,1, Bulgaria,Elitsa Todorova and Stoyan Yankoulov,Water,0
Semi-Final,2007,2, Israel,Teapacks,Push the Button,0
Semi-Final,2007,3, Cyprus,Evridiki,"Comme ci, comme ça",0
Semi-Final,2007,4, Belarus,Dmitry Koldun,Work Your Magic,0
Semi-Final,2007,5, Iceland,Eiríkur Hauksson,Valentine Lost,0
Semi-Final,2007,6, Georgia,Sopho Khalvashi,Visionary Dream,0
Semi-Final,2007,7, Montenegro,Stevan Faddy,"'Ajde, kroči ('Ајде, крочи)",0
Semi-Final,2007,8,  Switzerland,DJ BoBo,Vampires Are Alive,0
Semi-Final,2007,9, Moldova,Natalia Barbu,Fight,0
Semi-Final,2007,10, Netherlands,Edsilia Rombley,On Top of the World,0
Semi-Final,2007,11, Albania,Frederik Ndoci,Hear My Plea,0
Semi-Final,2007,12, Denmark,DQ,Drama Queen,0
Semi-Final,2007,13, Croatia,Dragonfly feat. Dado Topić,Vjerujem u ljubav,0
Semi-Final,2007,14, Poland,The Jet Set,Time to Party,0
Semi-Final,2007,15, Serbia,Marija Šerifović,Molitva (Молитва),0
Semi-Final,2007,16, Czech Republic,Kabát,Malá dáma,0
Semi-Final,2007,17, Portugal,Sabrina,Dança comigo,0
Semi-Final,2007,18, Macedonia,Karolina,Mojot svet (Мојот свет),0
Semi-Final,2007,19, Norway,Guri Schanke,Ven a bailar conmigo,0
Semi-Final,2007,20, Malta,Olivia Lewis,Vertigo,0
Semi-Final,2007,21, Andorra,Anonymous,Salvem el món,0
Semi-Final,2007,22, Hungary,Magdi Rúzsa,Unsubstantial Blues,0
Semi-Final,2007,23, Estonia,Gerli Padar,Partners in Crime,0
Semi-Final,2007,24, Belgium,The KMG's,Love Power,0
Semi-Final,2007,25, Slovenia,Alenka Gotar,Cvet z juga,0
Semi-Final,2007,26, Turkey,Kenan Doğulu,Shake It Up Şekerim,0
Semi-Final,2007,27, Austria,Eric Papilaya,Get a Life – Get Alive,0
Semi-Final,2007,28, Latvia,Bonaparti.lv,Questa notte,0
Grand Final,2007,1, Bosnia and Herzegovina,Marija Šestić,Rijeka bez imena (Ријека без имена),11
Grand Final,2007,2, Spain,D'Nash,I Love You Mi Vida,20
Grand Final,2007,3, Belarus,Dmitry Koldun,Work Your Magic,6
Grand Final,2007,4, Ireland,Dervish,They Can't Stop the Spring,24
Grand Final,2007,5, Finland,Hanna Pakarinen,Leave Me Alone,17
Grand Final,2007,6, Macedonia,Karolina,Mojot svet (Мојот свет),14
Grand Final,2007,7, Slovenia,Alenka Gotar,Cvet z juga,15
Grand Final,2007,8, Hungary,Magdi Rúzsa,Unsubstantial Blues,9
Grand Final,2007,9, Lithuania,4Fun,Love or Leave,21
Grand Final,2007,10, Greece,Sarbel,Yassou Maria (Γεια σου Μαρία),7
Grand Final,2007,11, Georgia,Sopho Khalvashi,Visionary Dream,12
Grand Final,2007,12, Sweden,The Ark,The Worrying Kind,18
Grand Final,2007,13, France,Les Fatals Picards,L'amour à la française,22
Grand Final,2007,14, Latvia,Bonaparti.lv,Questa notte,16
Grand Final,2007,15, Russia,Serebro,Song #1,3
Grand Final,2007,16, Germany,Roger Cicero,Frauen regier'n die Welt,19
Grand Final,2007,17, Serbia,Marija Šerifović,Molitva (Молитва),1
Grand Final,2007,18, Ukraine,Verka Serduchka,Dancing Lasha Tumbai,2
Grand Final,2007,19, United Kingdom,Scooch,Flying the Flag (For You),22
Grand Final,2007,20, Romania,Todomondo,"Liubi, Liubi, I Love You (Люби, Люби, I Love You)",13
Grand Final,2007,21, Bulgaria,Elitsa Todorova and Stoyan Yankoulov,Water,5
Grand Final,2007,22, Turkey,Kenan Doğulu,Shake It Up Şekerim,4
Grand Final,2007,23, Armenia,Hayko,Anytime You Need,8
Grand Final,2007,24, Moldova,Natalia Barbu,Fight,10
