CONTEST_STEP,YEAR,ORDER,COUNTRY,ARTIST,SONG,PLACE
First Semi-Final,2013,1,Austria,Natália Kelly,Shine,0
First Semi-Final,2013,2,Estonia,Birgit,Et uus saaks alguse,0
First Semi-Final,2013,3,Slovenia,Hannah,Straight Into Love,0
First Semi-Final,2013,4,Croatia,Klapa s Mora,Mižerja,0
First Semi-Final,2013,5,Denmark,Emmelie de Forest,Only Teardrops,0
First Semi-Final,2013,6,Russia,Dina Garipova,What If,0
First Semi-Final,2013,7,Ukraine,Zlata Ognevich,Gravity,0
First Semi-Final,2013,8,Netherlands,Anouk,Birds,0
First Semi-Final,2013,9,Montenegro,Who See,Igranka (Игранка),0
First Semi-Final,2013,10,Lithuania,Andrius Pojavis,Something,0
First Semi-Final,2013,11,Belarus,Alyona Lanskaya,Solayoh,0
First Semi-Final,2013,12,Moldova,Aliona Moon,O mie,0
First Semi-Final,2013,13,Ireland,Ryan Dolan,Only Love Survives,0
First Semi-Final,2013,14,Cyprus,Despina Olympiou,An me thimasai (Aν με θυμάσαι),0
First Semi-Final,2013,15,Belgium,Roberto Bellarosa,Love Kills,0
First Semi-Final,2013,16,Serbia,Moje 3,Ljubav je svuda (Љубав је свуда),0
Second Semi-Final,2013,1,Latvia,PeR,Here We Go,0
Second Semi-Final,2013,2,San Marino,Valentina Monetta,Crisalide (Vola),0
Second Semi-Final,2013,3,North Macedonia,Esma & Lozano,Pred da se razdeni (Пред да се раздени),0
Second Semi-Final,2013,4,Azerbaijan,Farid Mammadov,Hold Me,0
Second Semi-Final,2013,5,Finland,Krista Siegfrids,Marry Me,0
Second Semi-Final,2013,6,Malta,Gianluca,Tomorrow,0
Second Semi-Final,2013,7,Bulgaria,Elitsa Todorova & Stoyan Yankoulov,Samo shampioni (Само шампиони),0
Second Semi-Final,2013,8,Iceland,Eythor Ingi,Ég á líf,0
Second Semi-Final,2013,9,Greece,Koza Mostra feat. Agathon Iakovidis,Alcohol Is Free,0
Second Semi-Final,2013,10,Israel,Moran Mazor,Rak Bishvilo (רק בשבילו),0
Second Semi-Final,2013,11,Armenia,Dorians,Lonely Planet,0
Second Semi-Final,2013,12,Hungary,ByeAlex,Kedvesem (Zoohacker Remix),0
Second Semi-Final,2013,13,Norway,Margaret Berger,I Feed You My Love,0
Second Semi-Final,2013,14,Albania,Adrian Lulgjuraj & Bledar Sejko,Identitet,0
Second Semi-Final,2013,15,Georgia,Nodi Tatishvili & Sophie Gelovani,Waterfall,0
Second Semi-Final,2013,16,Switzerland,Takasa,You and Me,0
Second Semi-Final,2013,17,Romania,Cezar,It's My Life,0
Grand Final,2013,1,France,Amandine Bourgeois,L'enfer et moi,23
Grand Final,2013,2,Lithuania,Andrius Pojavis,Something,22
Grand Final,2013,3,Moldova,Aliona Moon,O mie,11
Grand Final,2013,4,Finland,Krista Siegfrids,Marry Me,24
Grand Final,2013,5,Spain,ESDM,Contigo hasta el final,25
Grand Final,2013,6,Belgium,Roberto Bellarosa,Love Kills,12
Grand Final,2013,7,Estonia,Birgit,Et uus saaks alguse,20
Grand Final,2013,8,Belarus,Alyona Lanskaya,Solayoh,16
Grand Final,2013,9,Malta,Gianluca,Tomorrow,8
Grand Final,2013,10,Russia,Dina Garipova,What If,5
Grand Final,2013,11,Germany,Cascada,Glorious,21
Grand Final,2013,12,Armenia,Dorians,Lonely Planet,18
Grand Final,2013,13,Netherlands,Anouk,Birds,9
Grand Final,2013,14,Romania,Cezar,It's My Life,13
Grand Final,2013,15,United Kingdom,Bonnie Tyler,Believe in Me,19
Grand Final,2013,16,Sweden,Robin Stjernberg,You,14
Grand Final,2013,17,Hungary,ByeAlex,Kedvesem (Zoohacker Remix),10
Grand Final,2013,18,Denmark,Emmelie de Forest,Only Teardrops,1
Grand Final,2013,19,Iceland,Eythor Ingi,Ég á líf,17
Grand Final,2013,20,Azerbaijan,Farid Mammadov,Hold Me,2
Grand Final,2013,21,Greece,Koza Mostra feat. Agathon Iakovidis,Alcohol Is Free,6
Grand Final,2013,22,Ukraine,Zlata Ognevich,Gravity,3
Grand Final,2013,23,Italy,Marco Mengoni,L'essenziale,7
Grand Final,2013,24,Norway,Margaret Berger,I Feed You My Love,4
Grand Final,2013,25,Georgia,Nodi Tatishvili and Sophie Gelovani,Waterfall,15
Grand Final,2013,26,Ireland,Ryan Dolan,Only Love Survives,26
