CONTEST_STEP,YEAR,ORDER,COUNTRY,ARTIST,SONG,PLACE
Grand Final,1999,1, Lithuania,Aistė,Strazdas,20
Grand Final,1999,2, Belgium,Vanessa Chinitor,Like the Wind,12
Grand Final,1999,3, Spain,Lydia,No quiero escuchar,23
Grand Final,1999,4, Croatia,Doris Dragović,Marija Magdalena,4
Grand Final,1999,5, United Kingdom,Precious,Say It Again,12
Grand Final,1999,6, Slovenia,Darja Švajger,For a Thousand Years,11
Grand Final,1999,7, Turkey,Tuba Önal and Grup Mistik,Dön Artık,16
Grand Final,1999,8, Norway,Stig van Eijk,Living My Life Without You,14
Grand Final,1999,9, Denmark,Trine Jepsen and Michael Teschl,This Time I Mean It,8
Grand Final,1999,10, France,Nayah,Je veux donner ma voix,19
Grand Final,1999,11, Netherlands,Marlayne,One Good Reason,8
Grand Final,1999,12, Poland,Mietek Szcześniak,Przytul mnie mocno,18
Grand Final,1999,13, Iceland,Selma,All Out of Luck,2
Grand Final,1999,14, Cyprus,Marlain,Tha'nai erotas (Θα'ναι έρωτας),22
Grand Final,1999,15, Sweden,Charlotte Nilsson,Take Me to Your Heaven,1
Grand Final,1999,16, Portugal,Rui Bandeira,Como tudo começou,21
Grand Final,1999,17, Ireland,The Mullans,When You Need Me,17
Grand Final,1999,18, Austria,Bobbie Singer,Reflection,10
Grand Final,1999,19, Israel,Eden,Yom Huledet (Happy Birthday) (יום הולדת),5
Grand Final,1999,20, Malta,Times Three,Believe 'n Peace,15
Grand Final,1999,21, Germany,Sürpriz,Reise nach Jerusalem – Kudüs'e Seyahat,3
Grand Final,1999,22, Bosnia and Herzegovina,Dino and Béatrice,Putnici,7
Grand Final,1999,23, Estonia,Evelin Samuel and Camille,Diamond of Night,6
