CONTEST_STEP,YEAR,ORDER,COUNTRY,ARTIST,SONG,PLACE
Grand Final,1998,1, Croatia,Danijela,Neka mi ne svane,5
Grand Final,1998,2, Greece,Thalassa,Mia krifi evaisthisia (Μια κρυφή ευαισθησία),20
Grand Final,1998,3, France,Marie Line,Où aller,24
Grand Final,1998,4, Spain,Mikel Herzog,¿Qué voy a hacer sin ti?,16
Grand Final,1998,5, Switzerland,Gunvor,Lass ihn,25
Grand Final,1998,6, Slovakia,Katarína Hasprová,Modlitba,21
Grand Final,1998,7, Poland,Sixteen,To takie proste,17
Grand Final,1998,8, Israel,Dana International,Diva (דיווה),1
Grand Final,1998,9, Germany,Guildo Horn,Guildo hat euch lieb!,7
Grand Final,1998,10, Malta,Chiara,The One That I Love,3
Grand Final,1998,11, Hungary,Charlie,A holnap már nem lesz szomorú,23
Grand Final,1998,12, Slovenia,Vili Resnik,Naj bogovi slišijo,18
Grand Final,1998,13, Ireland,Dawn Martin,Is Always Over Now?,9
Grand Final,1998,14, Portugal,Alma Lusa,Se eu te pudesse abraçar,12
Grand Final,1998,15, Romania,Mălina Olinescu,Eu cred,22
Grand Final,1998,16, United Kingdom,Imaani,Where Are You?,2
Grand Final,1998,17, Cyprus,Michael Hajiyanni,Genesis (Γένεσις),11
Grand Final,1998,18, Netherlands,Edsilia,Hemel en aarde,4
Grand Final,1998,19, Sweden,Jill Johnson,Kärleken är,10
Grand Final,1998,20, Belgium,Mélanie Cohl,Dis oui,6
Grand Final,1998,21, Finland,Edea,Aava,15
Grand Final,1998,22, Norway,Lars A. Fredriksen,Alltid sommer,8
Grand Final,1998,23, Estonia,Koit Toome,Mere lapsed,12
Grand Final,1998,24, Turkey,Tüzmen,Unutamazsın,14
Grand Final,1998,25, Macedonia,Vlado Janevski,"Ne zori, zoro (Не зори, зоро)",19
